iter	RMSE
0	0.02995006335
1	0.02857505036
2	0.027258159
3	0.02602030116
4	0.02483712938
5	0.02374021699
6	0.02267192517
7	0.02165952082
8	0.02071081759
9	0.01981542764
10	0.01895550705
11	0.01812530379
12	0.01736378177
13	0.01663321075
14	0.01591977509
15	0.0152410597
16	0.01460215361
17	0.01401164718
18	0.01342618173
19	0.01288377046
20	0.01236290276
21	0.01188444203
22	0.01141254539
23	0.01096746339
24	0.01055160122
25	0.01015473664
26	0.009781509171
27	0.009433168254
28	0.009096246853
29	0.008778426564
30	0.008470138217
31	0.008193798502
32	0.007930240062
33	0.007679999709
34	0.007438555089
35	0.007204550712
36	0.006984039454
37	0.006778363818
38	0.006584931487
39	0.006401805432
40	0.006226450028
41	0.006059623072
42	0.005899448639
43	0.005759454078
44	0.005621237267
45	0.005490223536
46	0.005379273468
47	0.005272771069
48	0.00516479243
49	0.005064711513
50	0.004972925178
51	0.004888082408
52	0.004812932804
53	0.004739113291
54	0.004667220791
55	0.004599170574
56	0.00453449041
57	0.004477210447
58	0.004423566482
59	0.00436285939
60	0.004311859008
61	0.004268060306
62	0.004220760744
63	0.004184216523
64	0.004140533554
65	0.004096644832
66	0.00406022415
67	0.00402435066
68	0.003995167935
69	0.003967031282
70	0.003940718273
71	0.003914444237
72	0.00389188865
73	0.003870279188
74	0.003848219805
75	0.003824719425
76	0.003806718981
77	0.003780936128
78	0.003757894061
79	0.003744600631
80	0.003721112357
81	0.003705166442
82	0.003687677715
83	0.003672197155
84	0.003658813204
85	0.003640517584
86	0.003623368108
87	0.003608846101
88	0.00359824903
89	0.003586528375
90	0.003572913214
91	0.003559294483
92	0.003548095783
93	0.003537317304
94	0.003525038683
95	0.00351239216
96	0.00350145752
97	0.003489465559
98	0.003479930802
99	0.003473297685
100	0.003462726597
101	0.00345442687
102	0.003445282814
103	0.003438639245
104	0.003425840644
105	0.003418674244
106	0.003409028225
107	0.003398802598
108	0.003388373649
109	0.00338000027
110	0.003373905656
111	0.003362345671
112	0.003351947283
113	0.003343183039
114	0.003336960036
115	0.003325765884
116	0.003314561878
117	0.003307724163
118	0.003298144916
119	0.003292793673
120	0.003285279109
121	0.003279276924
122	0.003270727672
123	0.003263600742
124	0.003254490292
125	0.003246134797
126	0.003241936012
127	0.003233699593
128	0.003225634092
129	0.003216981101
130	0.003208275165
131	0.003204124747
132	0.003198260519
133	0.003193716078
134	0.003186902301
135	0.003182687035
136	0.003175036175
137	0.003166476101
138	0.003158758159
139	0.003150873245
140	0.003146159769
141	0.003141582024
142	0.003133979191
143	0.003125452866
144	0.00312012465
145	0.003114298951
146	0.003108035391
147	0.003104659216
148	0.003098134014
149	0.003094888413
150	0.003086668344
151	0.003083194505
152	0.00307748482
153	0.003069557686
154	0.00306376911
155	0.003060522262
156	0.003056423235
157	0.003050055496
158	0.003043901034
159	0.003037949618
160	0.003030145092
161	0.003026361686
162	0.003022643053
163	0.003018159444
164	0.00301421424
165	0.003010957283
166	0.003005960792
167	0.003003179961
168	0.00299598346
169	0.002993130439
170	0.002986417516
171	0.002982193037
172	0.002977520904
173	0.002970482058
174	0.002964548535
175	0.002961749755
176	0.002958758018
177	0.002952388191
178	0.002946471832
179	0.00294264238
180	0.002939280218
181	0.00293481008
182	0.002931342242
183	0.0029266573
184	0.002924135947
185	0.002917524903
186	0.002910212798
187	0.002904976442
188	0.00290230556
189	0.002898182405
190	0.002893998544
191	0.002886968176
192	0.002882459186
193	0.00287784335
194	0.002873638586
195	0.002870877882
196	0.002864933557
197	0.002860021493
198	0.002856666652
199	0.002854199324
200	0.002851096491
201	0.002847597633
202	0.00284357411
203	0.002837432258
204	0.00283343645
205	0.002831327654
206	0.002825337759
207	0.002821388387
208	0.002817831029
209	0.002812696695
210	0.002805585978
211	0.002800920436
212	0.002795228168
213	0.00279124075
214	0.002785746304
215	0.002781406903
216	0.002775358684
217	0.002770697484
218	0.002767365399
219	0.002764468628
